id,name,rgb,is_trans
-1,[Unknown],0033B2,False
0,Black,05131D,False
1,Blue,0055BF,False
2,Green,237841,False
3,Dark Turquoise,008F9B,False
4,Red,C91A09,False
5,Dark Pink,C870A0,False
6,Brown,583927,False
7,Light Gray,9BA19D,False
8,Dark Gray,6D6E5C,False
9,Light Blue,B4D2E3,False
10,Bright Green,4B9F4A,False
11,Light Turquoise,55A5AF,False
12,Salmon,F2705E,False
13,Pink,FC97AC,False
14,Yellow,F2CD37,False
15,White,FFFFFF,False
17,Light Green,C2DAB8,False
18,Light Yellow,FBE696,False
19,Tan,E4CD9E,False
20,Light Violet,C9CAE2,False
21,Glow In Dark Opaque,D4D5C9,False
22,Purple,81007B,False
23,Dark Blue-Violet,2032B0,False
25,Orange,FE8A18,False
26,Magenta,923978,False
27,Lime,BBE90B,False
28,Dark Tan,958A73,False
29,Bright Pink,E4ADC8,False
30,Medium Lavender,AC78BA,False
31,Lavender,E1D5ED,False
32,Trans-Black IR Lens,635F52,True
33,Trans-Dark Blue,0020A0,True
34,Trans-Green,84B68D,True
35,Trans-Bright Green,D9E4A7,True
36,Trans-Red,C91A09,True
40,Trans-Brown,635F52,True
41,Trans-Light Blue,AEEFEC,True
42,Trans-Neon Green,F8F184,True
43,Trans-Very Lt Blue,C1DFF0,True
45,Trans-Dark Pink,DF6695,True
46,Trans-Yellow,F5CD2F,True
47,Trans-Clear,FCFCFC,True
52,Trans-Purple,A5A5CB,True
54,Trans-Neon Yellow,DAB000,True
57,Trans-Neon Orange,FF800D,True
60,Chrome Antique Brass,645A4C,False
61,Chrome Blue,6C96BF,False
62,Chrome Green,3CB371,False
63,Chrome Pink,AA4D8E,False
64,Chrome Black,1B2A34,False
68,Very Light Orange,F3CF9B,False
69,Light Purple,CD6298,False
70,Reddish Brown,582A12,False
71,Light Bluish Gray,A0A5A9,False
72,Dark Bluish Gray,6C6E68,False
73,Medium Blue,5A93DB,False
74,Medium Green,73DCA1,False
75,Speckle Black-Copper,05131D,False
76,Speckle DBGray-Silver,6C6E68,False
77,Light Pink,FECCCF,False
78,Light Nougat,F6D7B3,False
79,Milky White,FFFFFF,False
80,Metallic Silver,A5A9B4,False
81,Metallic Green,899B5F,False
82,Metallic Gold,DBAC34,False
84,Medium Nougat,AA7D55,False
85,Dark Purple,3F3691,False
86,Light Brown,7C503A,False
89,Royal Blue,4C61DB,False
92,Nougat,D09168,False
100,Light Salmon,FEBABD,False
110,Violet,4354A3,False
112,Medium Bluish Violet,6874CA,False
114,Glitter Trans-Dark Pink,DF6695,True
115,Medium Lime,C7D23C,False
117,Glitter Trans-Clear,FFFFFF,True
118,Aqua,B3D7D1,False
120,Light Lime,D9E4A7,False
125,Light Orange,F9BA61,False
129,Glitter Trans-Purple,A5A5CB,True
132,Speckle Black-Silver,05131D,False
133,Speckle Black-Gold,05131D,False
134,Copper,AE7A59,False
135,Pearl Light Gray,9CA3A8,False
137,Pearl Sand Blue,7988A1,False
142,Pearl Light Gold,DCBC81,False
